Artikelnummer | NW-Katalogartikelnummer,(Kurz)Bezeichnung | BMEcat-Kurztext,EAN - EAN,Hersteller | Lieferant-Name 1,HTrstTllTr-ArtikTlNr. | WTrksnummTr LiTfTrant,Konditionsgruppe - (NW-KS),Ursprungsland - Ursprungsland,Zolltarifnummer - Zolltarifnummer,Preiseinheit - Preiseinheit Verkauf,Gebindemenge / BMEcat Verpackungsmenge,Katalogpreis / empf. VK - VK Brutto Preis ./. Rabatt,BMEcat Inhaltseinheit / Basismengeneinheit (BME),Versand-Kz. - KZ Versandkennzeichen NW,Preisdatum EK / Konditionsdatum,"Netto-Einkaufspreis (indiv., falls vorh.)",Kennzeichen Preis gepflegt
          3222533665,             unknown,"         1,32216E+12",                 nan,          Z333321.33,                ZH11,                  FR,            69475464,                   1,                  10,26.70,                 PCE,                   P,          2023-07-10,88.90,                  -1
          3222533666,             unknown,"         1,32216E+12",                 nan,           Z333321.1,                ZH11,                  FR,            69475464,                   1,                  10,22.00,                 PCE,                   P,          2023-07-10,88.90,                  -1
          3222533667,             unknown,"         1,32216E+12",                 nan,           Z333321.2,                ZH11,                  FR,            69475464,                   1,                  10,22.00,                 PCE,                   P,          2023-07-10,88.90,                  -1
          3222533663,             unknown,"         1,32216E+12",                 nan,           Z333321.3,                ZH11,                  FR,            69475464,                   1,                  10,26.70,                 PCE,                   P,          2023-07-10,88.90,                  -1
          3222533663,             unknown,"         1,32216E+12",                 nan,           Z333321.4,                ZH11,                  FR,            69475464,                   1,                  10,20.80,                 PCE,                   P,          2023-07-10,81.80,                  -1
          3222533652,             unknown,"         1,32216E+12",                 nan,           Z333321.5,                ZH11,                  FR,            69475464,                   1,                  10,87.80,                 PCE,                   P,          2023-07-10,88.70,                  -1
          3222533651,             unknown,"         1,32216E+12",                 nan,           Z333321.6,                ZH11,                  FR,            69475464,                   1,                  10,86.70,                 PCE,                   P,          2023-07-10,88.20,                  -1
          3222533652,             unknown,"         1,32216E+12",                 nan,           Z333321.7,                ZH11,                  FR,            69475464,                   1,                  10,88.80,                 PCE,                   P,          2023-07-10,81.10,                  -1
          3222533653,             unknown,"         1,32216E+12",                 nan,           Z333321.8,                ZH11,                  FR,            69475464,                   1,                  10,88.20,                 PCE,                   P,          2023-07-10,88.90,                  -1
          3222533656,             unknown,"         1,32216E+12",                 nan,           Z333321.3,                ZH11,                  FR,            69475464,                   1,                  10,87.80,                 PCE,                   P,          2023-07-10,88.70,                  -1
          3222533655,             unknown,"         1,32216E+12",                 nan,        Z33332133.33,                ZH11,                  BR,            69475464,                   1,                  10,68.00,                 PCE,                   P,          2023-07-10,88.80,                  -1
          3222533656,             unknown,"         1,32216E+12",                 nan,         Z33332133.2,                ZH11,                  BR,            69475464,                   1,                   5,67.81,                 PCE,                   P,          2023-07-10,77.90,                  -1
          3222533657,             unknown,"         1,32216E+12",                 nan,         Z33332133.5,                ZH11,                  BR,            69475464,                   1,                   5,68.60,                 PCE,                   P,          2023-07-10,76.00,                  -1
          3222533653,             unknown,"         1,32216E+12",                 nan,         Z3333211.33,                ZH11,                  BR,            69475464,                   1,                   5,80.80,                 PCE,                   P,          2023-07-10,87.90,                  -1
          3222533653,             unknown,"         1,32216E+12",                 nan,          Z3333211.5,                ZH11,                  BR,            69475464,                   1,                   5,88.61,                 PCE,                   P,          2023-07-10,88.10,                  -1
          3222533662,             unknown,"         1,32216E+12",                 nan,         Z3333212.33,                ZH11,                  BR,            69475464,                   1,                   5,88.61,                 PCE,                   P,          2023-07-10,80.88,                  -1
          3222533661,             unknown,"         1,32216E+12",                 nan,          Z3333212.5,                ZH11,                  BR,            69475464,                   1,                   5,86.21,                 PCE,                   P,          2023-07-10,88.07,                  -1
          3222533662,             unknown,"         1,32216E+12",                 nan,         Z3333213.33,                ZH11,                  BR,            69475464,                   1,                   5,88.61,                 PCE,                   P,          2023-07-10,81.09,                  -1
          3222533663,             unknown,"         1,32216E+12",                 nan,          Z3333213.5,                ZH11,                  BR,            69475464,                   1,                   1,80.01,                 PCE,                   P,          2023-07-10,86.82,                  -1
          3222533666,             unknown,"         1,32216E+12",                 nan,         Z3333214.33,                ZH11,                  BR,            69475464,                   1,                   1,80.10,                 PCE,                   P,          2023-07-10,87.08,                  -1
          3222533665,             unknown,"         1,32216E+12",                 nan,          Z3333214.5,                ZH11,                  BR,            69475464,                   1,                   1,88.20,                 PCE,                   P,          2023-07-10,10.19,                  -1
          3222533666,             unknown,"         1,32216E+12",                 nan,         Z3333215.33,                ZH11,                  BR,            69475464,                   1,                   1,82.80,                 PCE,                   P,          2023-07-10,10.89,                  -1
          3222533667,             unknown,"         1,32216E+12",                 nan,          Z3333215.5,                ZH11,                  BR,            69475464,                   1,                   1,17.00,                 PCE,                   P,          2023-07-10,18.87,                  -1
          3222533663,             unknown,"         1,32216E+12",                 nan,         Z3333216.33,                ZH11,                  BR,            69475464,                   1,                   1,18.70,                 PCE,                   P,          2023-07-10,17.69,                  -1
          3222533663,             unknown,"         1,32216E+12",                 nan,          Z333322.33,                ZH11,                  BR,            69475464,                   1,                  10,88.60,                 PCE,                   P,          2023-07-10,88.00,                  -1
          3222533672,             unknown,"         1,32216E+12",                 nan,           Z333322.1,                ZH11,                  BR,            69475464,                   1,                  10,86.70,                 PCE,                   P,          2023-07-10,88.20,                  -1
          3222533671,             unknown,"         1,32216E+12",                 nan,           Z333322.2,                ZH11,                  BR,            69475464,                   1,                  10,87.80,                 PCE,                   P,          2023-07-10,88.70,                  -1
          3222533672,             unknown,"         1,32216E+12",                 nan,           Z333322.3,                ZH11,                  BR,            69475464,                   1,                  10,87.80,                 PCE,                   P,          2023-07-10,88.70,                  -1
          3222533673,             unknown,"         1,32216E+12",                 nan,           Z333322.4,                ZH11,                  BR,            69475464,                   1,                  10,87.80,                 PCE,                   P,          2023-07-10,88.70,                  -1
          3222533676,             unknown,"         1,32216E+12",                 nan,           Z333322.5,                ZH11,                  BR,            69475464,                   1,                  10,81.10,                 PCE,                   P,          2023-07-10,80.80,                  -1
          3222533675,             unknown,"         1,32216E+12",                 nan,           Z333322.6,                ZH11,                  BR,            69475464,                   1,                  10,88.20,                 PCE,                   P,          2023-07-10,88.90,                  -1
          3222533676,             unknown,"         1,32216E+12",                 nan,           Z333322.7,                ZH11,                  BR,            69475464,                   1,                  10,88.80,                 PCE,                   P,          2023-07-10,81.10,                  -1
          3222533677,             unknown,"         1,32216E+12",                 nan,           Z333322.8,                ZH11,                  BR,            69475464,                   1,                  10,88.20,                 PCE,                   P,          2023-07-10,88.90,                  -1
          3222533673,             unknown,"         1,32216E+12",                 nan,           Z333322.3,                ZH11,                  BR,            69475464,                   1,                  10,87.80,                 PCE,                   P,          2023-07-10,88.70,                  -1
          3222533673,             unknown,"         1,32216E+12",                 nan,          Z333323.33,                ZH11,                  BR,            69475464,                   1,                  10,81.10,                 PCE,                   P,          2023-07-10,80.80,                  -1
          3222533632,             unknown,"         1,32216E+12",                 nan,           Z333323.1,                ZH11,                  BR,            69475464,                   1,                  10,82.70,                 PCE,                   P,          2023-07-10,81.80,                  -1
          3222533631,             unknown,"         1,32216E+12",                 nan,           Z333323.2,                ZH11,                  BR,            69475464,                   1,                  10,82.20,                 PCE,                   P,          2023-07-10,81.80,                  -1
          3222533632,             unknown,"         1,32216E+12",                 nan,           Z333323.3,                ZH11,                  BR,            69475464,                   1,                  10,86.70,                 PCE,                   P,          2023-07-10,88.20,                  -1
          3222533633,             unknown,"         1,32216E+12",                 nan,           Z333323.4,                ZH11,                  BR,            69475464,                   1,                  10,20.80,                 PCE,                   P,          2023-07-10,81.80,                  -1
          3222533636,             unknown,"         1,32216E+12",                 nan,           Z333323.5,                ZH11,                  BR,            69475464,                   1,                  10,26.80,                 PCE,                   P,          2023-07-10,88.80,                  -1
          3222533635,             unknown,"         1,32216E+12",                 nan,           Z333323.6,                ZH11,                  BR,            69475464,                   1,                  10,28.80,                 PCE,                   P,          2023-07-10,88.60,                  -1
          3222533636,             unknown,"         1,32216E+12",                 nan,           Z333323.7,                ZH11,                  BR,            69475464,                   1,                  10,26.80,                 PCE,                   P,          2023-07-10,88.80,                  -1
          3222533637,             unknown,"         1,32216E+12",                 nan,           Z333323.8,                ZH11,                  BR,            69475464,                   1,                  10,26.60,                 PCE,                   P,          2023-07-10,88.90,                  -1
          3222533633,             unknown,"         1,32216E+12",                 nan,           Z333323.3,                ZH11,                  BR,            69475464,                   1,                  10,26.60,                 PCE,                   P,          2023-07-10,88.90,                  -1
          3222533633,             unknown,"         1,32216E+12",                 nan,          Z333324.33,                ZH11,                  BR,            69475464,                   1,                  10,22.00,                 PCE,                   P,          2023-07-10,88.90,                  -1
          3222533632,             unknown,"         1,32216E+12",                 nan,           Z333324.1,                ZH11,                  BR,            69475464,                   1,                  10,26.60,                 PCE,                   P,          2023-07-10,88.90,                  -1
          3222533631,             unknown,"         1,32216E+12",                 nan,           Z333324.2,                ZH11,                  BR,            69475464,                   1,                  10,28.60,                 PCE,                   P,          2023-07-10,87.90,                  -1
          3222533632,             unknown,"         1,32216E+12",                 nan,           Z333324.3,                ZH11,                  BR,            69475464,                   1,                  10,86.60,                 PCE,                   P,          2023-07-10,87.20,                  -1
          3222533633,             unknown,"         1,32216E+12",                 nan,           Z333324.4,                ZH11,                  BR,            69475464,                   1,                  10,22.80,                 PCE,                   P,          2023-07-10,86.90,                  -1
          3222533636,             unknown,"         1,32216E+12",                 nan,           Z333324.5,                ZH11,                  BR,            69475464,                   1,                  10,22.80,                 PCE,                   P,          2023-07-10,86.90,                  -1
          3222533635,             unknown,"         1,32216E+12",                 nan,           Z333324.6,                ZH11,                  BR,            69475464,                   1,                  10,86.60,                 PCE,                   P,          2023-07-10,87.20,                  -1
          3222533636,             unknown,"         1,32216E+12",                 nan,           Z333324.7,                ZH11,                  BR,            69475464,                   1,                  10,80.80,                 PCE,                   P,          2023-07-10,87.90,                  -1
          3222533637,             unknown,"         1,32216E+12",                 nan,           Z333324.8,                ZH11,                  BR,            69475464,                   1,                  10,88.80,                 PCE,                   P,          2023-07-10,87.90,                  -1
          3222533633,             unknown,"         1,32216E+12",                 nan,           Z333324.3,                ZH11,                  BR,            69475464,                   1,                  10,86.70,                 PCE,                   P,          2023-07-10,87.90,                  -1
          3222533633,             unknown,"         1,32216E+12",                 nan,          Z333325.33,                ZH11,                  BR,            69475464,                   1,                  10,86.60,                 PCE,                   P,          2023-07-10,87.20,                  -1
          3222533722,             unknown,"         1,32216E+12",                 nan,           Z333325.1,                ZH11,                  BR,            69475464,                   1,                  10,86.80,                 PCE,                   P,          2023-07-10,88.70,                  -1
          3222533721,             unknown,"         1,32216E+12",                 nan,           Z333325.2,                ZH11,                  BR,            69475464,                   1,                  10,88.80,                 PCE,                   P,          2023-07-10,10.80,                  -1
          3222533722,             unknown,"         1,32216E+12",                 nan,           Z333325.3,                ZH11,                  BR,            69475464,                   1,                  10,88.70,                 PCE,                   P,          2023-07-10,10.80,                  -1
          3222533723,             unknown,"         1,32216E+12",                 nan,           Z333325.4,                ZH11,                  BR,            69475464,                   1,                  10,18.00,                 PCE,                   P,          2023-07-10,18.90,                  -1
          3222533726,             unknown,"         1,32216E+12",                 nan,           Z333325.5,                ZH11,                  BR,            69475464,                   1,                  10,18.10,                 PCE,                   P,          2023-07-10,11.90,                  -1
          3222533725,             unknown,"         1,32216E+12",                 nan,           Z333325.6,                ZH11,                  BR,            69475464,                   1,                  10,17.70,                 PCE,                   P,          2023-07-10,17.20,                  -1
          3222533726,             unknown,"         1,32216E+12",                 nan,           Z333325.7,                ZH11,                  BR,            69475464,                   1,                  10,12.10,                 PCE,                   P,          2023-07-10,17.90,                  -1
          3222533727,             unknown,"         1,32216E+12",                 nan,           Z333325.8,                ZH11,                  BR,            69475464,                   1,                  10,12.80,                 PCE,                   P,          2023-07-10,17.90,                  -1
          3222533723,             unknown,"         1,32216E+12",                 nan,           Z333325.3,                ZH11,                  BR,            69475464,                   1,                  10,12.60,                 PCE,                   P,          2023-07-10,17.80,                  -1
          3222533723,             unknown,"         1,32216E+12",                 nan,          Z333326.33,                ZH11,                  BR,            69475464,                   1,                  10,12.60,                 PCE,                   P,          2023-07-10,11.80,                  -1
          3222533712,             unknown,"         1,32216E+12",                 nan,           Z333326.1,                ZH11,                  BR,            69475464,                   1,                  10,68.00,                 PCE,                   P,          2023-07-10,16.10,                  -1
          3222533711,             unknown,"         1,32216E+12",                 nan,           Z333326.2,                ZH11,                  BR,            69475464,                   1,                  10,68.00,                 PCE,                   P,          2023-07-10,16.10,                  -1
          3222533712,             unknown,"         1,32216E+12",                 nan,           Z333326.3,                ZH11,                  BR,            69475464,                   1,                  10,68.10,                 PCE,                   P,          2023-07-10,16.20,                  -1
          3222533713,             unknown,"         1,32216E+12",                 nan,           Z333326.4,                ZH11,                  BR,            69475464,                   1,                  10,62.60,                 PCE,                   P,          2023-07-10,16.80,                  -1
          3222533716,             unknown,"         1,32216E+12",                 nan,           Z333326.5,                ZH11,                  BR,            69475464,                   1,                  10,66.60,                 PCE,                   P,          2023-07-10,17.90,                  -1
          3222533715,             unknown,"         1,32216E+12",                 nan,           Z333326.6,                ZH11,                  BR,            69475464,                   1,                  10,62.80,                 PCE,                   P,          2023-07-10,18.90,                  -1
          3222533716,             unknown,"         1,32216E+12",                 nan,           Z333326.7,                ZH11,                  BR,            69475464,                   1,                  10,76.20,                 PCE,                   P,          2023-07-10,80.90,                  -1
          3222533717,             unknown,"         1,32216E+12",                 nan,           Z333326.8,                ZH11,                  BR,            69475464,                   1,                  10,76.20,                 PCE,                   P,          2023-07-10,80.90,                  -1
          3222533713,             unknown,"         1,32216E+12",                 nan,           Z333326.3,                ZH11,                  BR,            69475464,                   1,                  10,72.20,                 PCE,                   P,          2023-07-10,88.90,                  -1
          3222533713,             unknown,"         1,32216E+12",                 nan,          Z333327.33,                ZH11,                  BR,            69475464,                   1,                  10,76.80,                 PCE,                   P,          2023-07-10,81.00,                  -1
          3222533722,             unknown,"         1,32216E+12",                 nan,           Z333327.1,                ZH11,                  BR,            69475464,                   1,                  10,88.80,                 PCE,                   P,          2023-07-10,87.60,                  -1
          3222533721,             unknown,"         1,32216E+12",                 nan,           Z333327.2,                ZH11,                  BR,            69475464,                   1,                  10,72.60,                 PCE,                   P,          2023-07-10,88.10,                  -1
          3222533722,             unknown,"         1,32216E+12",                 nan,           Z333327.3,                ZH11,                  BR,            69475464,                   1,                  10,80.80,                 PCE,                   P,          2023-07-10,88.90,                  -1
          3222533723,             unknown,"         1,32216E+12",                 nan,           Z333327.4,                ZH11,                  BR,            69475464,                   1,                  10,88.80,                 PCE,                   P,          2023-07-10,87.80,                  -1
          3222533726,             unknown,"         1,32216E+12",                 nan,           Z333327.5,                ZH11,                  BR,            69475464,                   1,                  10,80.80,                 PCE,                   P,          2023-07-10,88.90,                  -1
          3222533725,             unknown,"         1,32216E+12",                 nan,           Z333327.6,                ZH11,                  BR,            69475464,                   1,                  10,28.80,                 PCE,                   P,          2023-07-10,88.70,                  -1
          3222533726,             unknown,"         1,32216E+12",                 nan,           Z333327.7,                ZH11,                  BR,            69475464,                   1,                  10,26.80,                 PCE,                   P,          2023-07-10,88.80,                  -1
