Artikelnummer | NW-Katalogartikelnummer,(Kurz)Bezeichnung | BMEcat-Kurztext,EAN - EAN,Hersteller | Lieferant-Name 1,HTrstTllTr-ArtikTlNr. | WTrksnummTr LiTfTrant,Konditionsgruppe - (NW-KS),Ursprungsland - Ursprungsland,Zolltarifnummer - Zolltarifnummer,Preiseinheit - Preiseinheit Verkauf,Gebindemenge / BMEcat Verpackungsmenge,Katalogpreis / empf. VK - VK Brutto Preis ./. Rabatt,BMEcat Inhaltseinheit / Basismengeneinheit (BME),Versand-Kz. - KZ Versandkennzeichen NW,Preisdatum EK / Konditionsdatum,"Netto-Einkaufspreis (indiv., falls vorh.)",Kennzeichen Preis gepflegt
3222666512,unknown,"1,32216E+12",,T6336M6,ZK23,IN,69474414,1,1,87.21,PCE,P,18/08/2023,18.78,-1
3222666511,unknown,"1,32216E+12",,T6336M8,ZK23,IN,69474414,1,1,18.00,PCE,P,18/08/2023,81.70,-1
3222666512,unknown,"1,32216E+12",,T6133M133NO3,ZK23,IN,69474414,1,1,68.80,PCE,P,18/08/2023,87.77,-1
3222666513,unknown,"1,32216E+12",,T6133M12NO3,ZK23,IN,69474414,1,1,72.20,PCE,P,18/08/2023,77.87,-1
3222666516,unknown,"1,32216E+12",,T6133M16NO3,ZK23,IN,69474414,1,1,661.00,PCE,P,18/08/2023,68.00,-1
3222666516,unknown,"1,32216E+12",,T6133M4NO3,ZK23,IN,69474414,1,1,88.21,PCE,P,18/08/2023,18.78,-1
3222666517,unknown,"1,32216E+12",,T6133M5NO3,ZK23,IN,69474414,1,1,88.70,PCE,P,18/08/2023,16.81,-1
3222666513,unknown,"1,32216E+12",,T6133M6NO3,ZK23,IN,69474414,1,1,88.21,PCE,P,18/08/2023,16.87,-1
3222666513,unknown,"1,32216E+12",,T6133M8NO3,ZK23,IN,69474414,1,1,16.20,PCE,P,18/08/2023,80.78,-1
3222666522,unknown,"1,32216E+12",,T6233M133,ZK23,IN,69474414,1,1,11.10,PCE,P,18/08/2023,88.80,-1
3222666521,unknown,"1,32216E+12",,T6233M12,ZK23,IN,69474414,1,1,71.70,PCE,P,18/08/2023,78.71,-1
3222666523,unknown,"1,32216E+12",,T6233M16,ZK23,IN,69474414,1,1,668.00,PCE,P,18/08/2023,68.70,-1
3222666526,unknown,"1,32216E+12",,T6233M3,ZK23,IN,69474414,1,1,86.71,PCE,P,18/08/2023,18.08,-1
3222666525,unknown,"1,32216E+12",,T6233M4,ZK23,IN,69474414,1,1,27.00,PCE,P,18/08/2023,11.10,-1
3222666526,unknown,"1,32216E+12",,T6233M5,ZK23,IN,69474414,1,1,86.21,PCE,P,18/08/2023,17.88,-1
3222666527,unknown,"1,32216E+12",,T6233M6,ZK23,IN,69474414,1,1,80.71,PCE,P,18/08/2023,17.78,-1
3222666523,unknown,"1,32216E+12",,T6233M8,ZK23,IN,69474414,1,1,87.81,PCE,P,18/08/2023,18.88,-1
3222666523,unknown,"1,32216E+12",,T621M133,ZK23,IN,69474414,1,1,68.80,PCE,P,18/08/2023,88.81,-1
3222666532,unknown,"1,32216E+12",,T621M12,ZK23,IN,69474414,1,1,87.70,PCE,P,18/08/2023,81.61,-1
3222666531,unknown,"1,32216E+12",,T621M14,ZK23,IN,69474414,1,1,661.00,PCE,P,18/08/2023,68.00,-1
3222666532,unknown,"1,32216E+12",,T621M16,ZK23,IN,69474414,1,1,628.00,PCE,P,18/08/2023,78.10,-1
3222666533,unknown,"1,32216E+12",,T621M3,ZK23,IN,69474414,1,1,88.21,PCE,P,18/08/2023,18.08,-1
3222666536,unknown,"1,32216E+12",,T621M4,ZK23,IN,69474414,1,1,88.80,PCE,P,18/08/2023,18.68,-1
3222666535,unknown,"1,32216E+12",,T621M5,ZK23,IN,69474414,1,1,87.81,PCE,P,18/08/2023,18.78,-1
3222666536,unknown,"1,32216E+12",,T621M6,ZK23,IN,69474414,1,1,87.80,PCE,P,18/08/2023,18.81,-1
3222666537,unknown,"1,32216E+12",,T621M8,ZK23,IN,69474414,1,1,18.70,PCE,P,18/08/2023,81.81,-1
3222666533,unknown,"1,32216E+12",,T6533M133,ZU21,BR,69474414,1,1,71.20,PCE,P,18/08/2023,87.89,-1
3222666533,unknown,"1,32216E+12",,T6533M12,ZU21,BR,69474414,1,1,27.60,PCE,P,18/08/2023,77.82,-1
3222666562,unknown,"1,32216E+12",,T6533M14,ZU21,BR,69474414,1,1,627.00,PCE,P,18/08/2023,67.88,-1
3222666561,unknown,"1,32216E+12",,T6533M16,ZU21,BR,69474414,1,1,622.00,PCE,P,18/08/2023,68.88,-1
3222666562,unknown,"1,32216E+12",,T6533M3,ZU21,BR,69474414,1,1,10.80,PCE,P,18/08/2023,17.88,-1
3222666563,unknown,"1,32216E+12",,T6533M4,ZU21,BR,69474414,1,1,16.80,PCE,P,18/08/2023,18.88,-1
3222666566,unknown,"1,32216E+12",,T6533M5,ZU21,BR,69474414,1,1,18.70,PCE,P,18/08/2023,16.81,-1
